customerID,age,gender,Contract,MonthlyCharges,TotalCharges,TechSupport,InternetService,tenure,PaperlessBilling,PaymentMethod,Churn
3170-NMYVV,19,Female,Two year,20.15,930.9,No internet service,No,50,No,Bank transfer (automatic),No
7410-OIEDU,27,Male,Month-to-month,79.85,887.35,No,Fiber optic,10,Yes,Mailed check,No
2273-QCKXA,21,Male,Month-to-month,49.05,49.05,Yes,DSL,1,No,Mailed check,No
0731-EBJQB,29,Female,One year,20.4,1090.65,No internet service,No,52,Yes,Electronic check,No
1891-QRQSA,20,Male,Two year,111.6,7099,Yes,Fiber optic,64,Yes,Bank transfer (automatic),No
8028-PNXHQ,21,Male,Two year,24.25,1424.6,No internet service,No,62,Yes,Bank transfer (automatic),No
5630-AHZIL,24,Female,Month-to-month,64.5,177.4,Yes,DSL,3,Yes,Bank transfer (automatic),No
2673-CXQEU,20,Female,One year,110.5,6139.5,No,Fiber optic,56,No,Electronic check,No
6416-JNVRK,28,Female,One year,55.65,2688.85,No,DSL,46,No,Credit card (automatic),No
5590-ZSKRV,30,Female,Month-to-month,54.65,482.25,No,DSL,8,No,Mailed check,No
0191-ZHSKZ,27,Male,Month-to-month,74.75,2111.3,No,DSL,30,Yes,Electronic check,No
3887-PBQAO,26,Female,One year,25.9,1216.6,No internet service,No,45,Yes,Credit card (automatic),No
5919-TMRGD,22,Female,Month-to-month,79.35,79.35,No,Fiber optic,1,Yes,Electronic check,Yes
8108-UXRQN,28,Female,Month-to-month,50.55,565.35,No,DSL,11,No,Electronic check,No
9191-MYQKX,21,Female,Month-to-month,75.15,496.9,No,Fiber optic,7,Yes,Bank transfer (automatic),Yes
9919-YLNNG,19,Female,Month-to-month,103.8,4327.5,Yes,Fiber optic,42,Yes,Bank transfer (automatic),No
0318-ZOPWS,28,Female,Two year,20.15,973.35,No internet service,No,49,Yes,Bank transfer (automatic),No
4445-ZJNMU,29,Male,Month-to-month,99.3,918.75,No,Fiber optic,9,Yes,Credit card (automatic),No
4808-YNLEU,30,Female,One year,62.15,2215.45,No,DSL,35,Yes,Bank transfer (automatic),No
1862-QRWPE,23,Female,Two year,20.65,1057,No internet service,No,48,No,Bank transfer (automatic),No
2796-NNUFI,30,Female,Two year,19.95,927.1,No internet service,No,46,Yes,Mailed check,No
3016-KSVCP,21,Male,Month-to-month,33.75,1009.25,No,DSL,29,No,Mailed check,No
4767-HZZHQ,25,Male,Month-to-month,82.05,2570.2,No,Fiber optic,30,No,Bank transfer (automatic),No
2424-WVHPL,30,Male,Month-to-month,74.7,74.7,Yes,Fiber optic,1,No,Electronic check,No
7233-PAHHL,20,Male,Two year,84,5714.25,Yes,DSL,66,Yes,Mailed check,No
6067-NGCEU,28,Female,Month-to-month,111.05,7107,No,Fiber optic,65,Yes,Credit card (automatic),No
9848-JQJTX,27,Male,Two year,100.9,7459.05,No,Fiber optic,72,Yes,Bank transfer (automatic),No
8637-XJIVR,29,Female,Month-to-month,78.95,927.35,No,Fiber optic,12,Yes,Electronic check,Yes
9803-FTJCG,22,Male,One year,66.85,4748.7,Yes,DSL,71,Yes,Credit card (automatic),No
0278-YXOOG,26,Male,Month-to-month,21.05,113.85,No internet service,No,5,No,Mailed check,Yes
3212-KXOCR,24,Male,Two year,21,1107.2,No internet service,No,52,No,Bank transfer (automatic),No
4598-XLKNJ,28,Female,Month-to-month,98.5,2514.5,No,Fiber optic,25,Yes,Electronic check,Yes
6380-ARCEH,20,Male,Month-to-month,20.2,20.2,No internet service,No,1,No,Mailed check,No
3679-XASPY,23,Female,Month-to-month,19.45,19.45,No internet service,No,1,No,Electronic check,No
7123-WQUHX,23,Male,One year,95,3605.6,Yes,Fiber optic,38,No,Bank transfer (automatic),No
5386-THSLQ,26,Female,One year,45.55,3027.25,No,DSL,66,No,Bank transfer (automatic),No
3192-NQECA,30,Male,Two year,110,7611.85,Yes,Fiber optic,68,Yes,Bank transfer (automatic),Yes
6180-YBIQI,24,Male,Month-to-month,24.3,100.2,No,DSL,5,No,Mailed check,No
6728-DKUCO,21,Female,One year,104.15,7303.05,No,Fiber optic,72,Yes,Electronic check,No
9750-BOOHV,24,Female,One year,30.15,927.65,No,DSL,32,No,Mailed check,No
8597-CWYHH,26,Male,One year,94.35,3921.3,No,Fiber optic,43,No,Mailed check,No
2848-YXSMW,29,Male,Two year,19.4,1363.25,No internet service,No,72,No,Credit card (automatic),No
0486-HECZI,20,Male,Month-to-month,96.75,5238.9,No,Fiber optic,55,Yes,Electronic check,Yes
4549-ZDQYY,30,Female,One year,57.95,3042.25,Yes,DSL,52,No,Credit card (automatic),No
5712-AHQNN,27,Female,Month-to-month,91.65,3954.1,No,Fiber optic,43,Yes,Electronic check,No
4846-WHAFZ,25,Female,Month-to-month,76.5,2868.15,No,Fiber optic,37,Yes,Electronic check,Yes
5256-SKJGO,27,Female,Two year,54.6,3423.5,Yes,DSL,64,Yes,Electronic check,No
3071-VBYPO,25,Male,Month-to-month,89.85,248.4,No,Fiber optic,3,No,Electronic check,No
9560-BBZXK,27,Female,Two year,31.05,1126.35,No,DSL,36,No,Bank transfer (automatic),No
5299-RULOA,23,Female,Month-to-month,100.25,1064.65,No,Fiber optic,10,Yes,Electronic check,Yes
8402-OOOHJ,20,Female,Two year,20.65,835.15,No internet service,No,41,No,Mailed check,No
9445-ZUEQE,28,Male,Month-to-month,85.2,2151.6,Yes,Fiber optic,27,Yes,Credit card (automatic),No
1091-SOZGA,21,Female,One year,99.8,5515.45,No,Fiber optic,56,Yes,Credit card (automatic),No
2928-HLDBA,20,Female,Month-to-month,20.7,112.75,No internet service,No,6,No,Mailed check,No
0404-SWRVG,26,Male,Month-to-month,74.4,229.55,No,Fiber optic,3,Yes,Electronic check,Yes
6497-TILVL,22,Female,Month-to-month,50.7,350.35,No,DSL,7,No,Mailed check,No
7219-TLZHO,27,Female,Month-to-month,20.85,62.9,No internet service,No,4,No,Mailed check,No
4622-YNKIJ,27,Male,Two year,88.95,3027.65,Yes,Fiber optic,33,Yes,Electronic check,No
4412-YLTKF,28,Female,Month-to-month,78.05,2135.5,No,Fiber optic,27,Yes,Electronic check,Yes
6734-PSBAW,19,Male,Two year,23.55,1723.95,No internet service,No,72,Yes,Bank transfer (automatic),No
3930-ZGWVE,22,Male,Month-to-month,19.75,19.75,No internet service,No,1,No,Mailed check,No
2639-UGMAZ,20,Male,One year,56.45,3985.35,No,DSL,71,Yes,Electronic check,No
2876-GZYZC,19,Female,Month-to-month,85.95,1215.65,No,Fiber optic,13,Yes,Electronic check,No
6207-WIOLX,21,Female,Month-to-month,58.6,1502.65,No,DSL,25,Yes,Credit card (automatic),Yes
8587-XYZSF,19,Male,Two year,50.55,3260.1,Yes,DSL,67,No,Bank transfer (automatic),No
3091-FYHKI,26,Male,Month-to-month,35.45,35.45,No,DSL,1,Yes,Electronic check,Yes
2372-HWUHI,25,Male,Month-to-month,44.35,81.25,No,DSL,2,No,Electronic check,Yes
7799-LGRDP,25,Female,Two year,25.7,1188.2,No internet service,No,43,Yes,Credit card (automatic),No
7850-VWJUU,23,Female,Month-to-month,75,1778.5,No,Fiber optic,23,Yes,Bank transfer (automatic),No
3774-VBNXY,26,Female,Two year,20.2,1277.75,No internet service,No,64,No,Mailed check,No
6217-KDYWC,26,Male,Two year,19.6,1170.55,No internet service,No,57,Yes,Mailed check,No
0390-DCFDQ,28,Female,Month-to-month,70.45,70.45,No,Fiber optic,1,Yes,Mailed check,Yes
3146-MSEGF,26,Female,Two year,88.05,6425.65,Yes,DSL,72,Yes,Credit card (automatic),No
4080-OGPJL,23,Female,Month-to-month,71.15,563.65,Yes,DSL,8,No,Electronic check,Yes
1095-WGNGG,27,Female,Two year,101.05,5971.25,No,Fiber optic,61,Yes,Bank transfer (automatic),No
2636-SJDOU,27,Male,One year,84.3,5289.05,No,Fiber optic,64,Yes,Credit card (automatic),No
1131-QQZEB,20,Male,Two year,23.95,1756.2,No internet service,No,71,No,Bank transfer (automatic),No
5716-EZXZN,20,Female,Two year,99.05,6416.7,Yes,Fiber optic,65,Yes,Credit card (automatic),No
6837-BJYDQ,22,Male,One year,19.6,61.35,No internet service,No,3,No,Mailed check,No
2135-RXIHG,25,Male,Month-to-month,45.65,45.65,No,DSL,1,Yes,Electronic check,Yes
6440-DKQGE,24,Male,One year,64.5,1929.95,No,DSL,30,No,Credit card (automatic),No
3466-BYAVD,26,Male,Month-to-month,69.5,1071.4,Yes,DSL,15,Yes,Mailed check,No
3780-YVMFA,27,Female,Month-to-month,68.55,564.35,Yes,DSL,8,Yes,Electronic check,No
3874-EQOEP,29,Male,Month-to-month,95,655.5,No,Fiber optic,7,No,Mailed check,Yes
1679-JRFBR,22,Female,One year,108.15,7930.55,No,Fiber optic,70,Yes,Credit card (automatic),No
9073-ZZIAY,20,Male,Two year,86.1,5215.25,Yes,DSL,62,No,Electronic check,No
3077-RSNTJ,27,Female,Month-to-month,19.7,113.5,No internet service,No,6,No,Mailed check,No
6551-GNYDG,26,Female,Month-to-month,80.9,1152.8,No,Fiber optic,14,Yes,Bank transfer (automatic),No
9167-APMXZ,19,Female,Month-to-month,84.15,1821.95,No,Fiber optic,22,Yes,Bank transfer (automatic),No
2749-CTKAJ,23,Male,One year,20.15,419.9,No internet service,No,22,No,Mailed check,No
6371-NZYEG,28,Male,Two year,64.25,1024,No,DSL,16,No,Mailed check,No
7554-NEWDD,26,Male,Two year,25.7,251.6,No internet service,No,10,No,Bank transfer (automatic),No
8992-VONJD,19,Female,Month-to-month,56,764.55,No,DSL,13,Yes,Electronic check,No
0867-MKZVY,24,Female,Month-to-month,82.4,1592.35,No,Fiber optic,20,No,Electronic check,Yes
4482-EWFMI,23,Female,Month-to-month,69.7,135.2,No,Fiber optic,2,Yes,Electronic check,No
4648-YPBTM,19,Male,Two year,73.9,3958.25,Yes,DSL,53,Yes,Bank transfer (automatic),No
2907-ILJBN,21,Female,One year,20.6,233.9,No internet service,No,11,No,Mailed check,No
6345-FZOQH,28,Male,Two year,19.9,1363.45,No internet service,No,69,No,Mailed check,No
3376-BMGFE,25,Female,Month-to-month,70.9,273,No,Fiber optic,4,Yes,Bank transfer (automatic),Yes
5997-OPVFA,27,Male,Two year,89.05,6254.45,Yes,DSL,72,Yes,Bank transfer (automatic),No
3445-HXXGF,23,Male,Month-to-month,45.3,2651.2,No,DSL,58,Yes,Electronic check,Yes
1159-WFSGR,30,Female,Month-to-month,20.4,321.4,No internet service,No,16,No,Electronic check,No
7654-YWJUF,23,Male,One year,84.25,3539.25,Yes,Fiber optic,43,Yes,Bank transfer (automatic),No
1875-QIVME,30,Female,Month-to-month,104.4,242.8,Yes,Fiber optic,2,Yes,Electronic check,Yes
6727-IOTLZ,22,Male,Two year,81.95,1181.75,Yes,DSL,14,No,Mailed check,No
0691-JVSYA,28,Female,One year,94.85,5000.2,No,Fiber optic,53,Yes,Bank transfer (automatic),Yes
5918-VUKWP,19,Female,One year,20.55,654.55,No internet service,No,32,No,Bank transfer (automatic),No
1744-JHKYS,24,Female,Month-to-month,24.7,780.2,No internet service,No,34,No,Electronic check,No
2656-FMOKZ,25,Female,Month-to-month,74.45,1145.7,No,Fiber optic,15,Yes,Mailed check,Yes
2070-FNEXE,28,Female,Month-to-month,76.45,503.6,No,Fiber optic,7,No,Bank transfer (automatic),Yes
5947-SGKCL,24,Female,Month-to-month,105.35,1559.25,No,Fiber optic,15,Yes,Bank transfer (automatic),No
3712-PKXZA,27,Male,One year,20.55,1252,No internet service,No,61,Yes,Credit card (automatic),No
6317-YPKDH,22,Female,Month-to-month,29.95,29.95,No,DSL,1,No,Bank transfer (automatic),Yes
6582-OIVSP,21,Female,Month-to-month,45.3,45.3,No,DSL,1,No,Mailed check,No
9367-WXLCH,23,Male,Month-to-month,84.5,662.65,No,Fiber optic,8,No,Bank transfer (automatic),Yes
5524-KHNJP,24,Male,One year,74.75,2453.3,No,DSL,33,No,Credit card (automatic),No
1918-ZBFQJ,28,Female,Month-to-month,79.25,1111.65,No,Fiber optic,13,Yes,Electronic check,Yes
1024-GUALD,29,Female,Month-to-month,24.8,24.8,No,DSL,1,Yes,Electronic check,Yes
4827-USJHP,22,Male,Month-to-month,51.8,1023.85,No,DSL,20,Yes,Mailed check,No
8167-GJLRN,23,Male,Month-to-month,30.4,82.15,Yes,DSL,3,No,Electronic check,No
0956-SYCWG,29,Female,One year,19.65,244.8,No internet service,No,13,No,Electronic check,No
8017-UVSZU,24,Female,Month-to-month,56.6,2379.1,No,DSL,40,No,Credit card (automatic),No
7100-FQPRV,27,Male,One year,71.9,3173.35,Yes,DSL,43,Yes,Credit card (automatic),No
2472-OVKUP,28,Male,Month-to-month,91,531,No,Fiber optic,6,Yes,Electronic check,Yes
2984-RGEYA,30,Female,Two year,19.75,1375.4,No internet service,No,69,No,Bank transfer (automatic),No
9680-NIAUV,30,Female,Two year,109.7,8129.3,No,Fiber optic,72,No,Credit card (automatic),No
2146-EGVDT,26,Male,Two year,19.3,1192.7,No internet service,No,59,No,Credit card (automatic),No
2604-IJPDU,27,Female,Month-to-month,96.55,1901.65,Yes,Fiber optic,20,Yes,Electronic check,No
9178-JHUVJ,22,Male,Two year,24.1,587.4,No internet service,No,24,Yes,Bank transfer (automatic),No
6168-YBYNP,22,Male,Month-to-month,111.35,6519.75,Yes,Fiber optic,59,Yes,Electronic check,No
7255-SSFBC,23,Male,Two year,112.25,8041.65,Yes,Fiber optic,72,Yes,Bank transfer (automatic),No
3645-DEYGF,23,Male,Month-to-month,20.75,20.75,No internet service,No,1,No,Mailed check,No
9323-HGFWY,29,Female,One year,101.9,2681.15,Yes,Fiber optic,27,Yes,Credit card (automatic),No
8544-GOQSH,27,Female,Month-to-month,80.05,1112.3,Yes,Fiber optic,14,Yes,Credit card (automatic),No
3363-DTIVD,21,Male,Two year,105.55,7405.5,No,Fiber optic,71,No,Electronic check,No
7018-WBJNK,22,Male,Month-to-month,78.3,1033.95,No,Fiber optic,13,Yes,Credit card (automatic),No
9142-KZXOP,28,Male,Month-to-month,68.85,2958.95,No,Fiber optic,44,No,Credit card (automatic),No
7674-YTAFD,28,Female,One year,79.95,2684.85,Yes,Fiber optic,33,Yes,Bank transfer (automatic),No
6348-SNFUS,19,Male,Two year,55.45,4179.2,Yes,DSL,72,Yes,Credit card (automatic),No
1285-OKIPP,30,Male,Month-to-month,79.9,79.9,No,Fiber optic,1,No,Electronic check,Yes
7825-ECJRF,28,Female,Month-to-month,106.6,1934.45,Yes,Fiber optic,19,Yes,Electronic check,Yes
1347-KTTTA,23,Male,One year,102.45,6654.1,Yes,Fiber optic,64,Yes,Credit card (automatic),No
7841-TZDMQ,24,Male,Month-to-month,46,84.5,No,DSL,2,Yes,Credit card (automatic),Yes
4195-NZGTA,28,Female,Month-to-month,25.25,25.25,No,DSL,1,No,Electronic check,No
7157-SMCFK,24,Male,Two year,19.75,1124.2,No internet service,No,61,No,Mailed check,No
4709-LKHYG,20,Female,One year,20,540.05,No internet service,No,29,No,Electronic check,No
2504-DSHIH,30,Male,Month-to-month,86.8,1975.85,No,Fiber optic,23,No,Electronic check,No
0699-NDKJM,20,Female,Month-to-month,58.75,3437.45,No,DSL,57,Yes,Bank transfer (automatic),No
9286-BHDQG,22,Male,Two year,45.25,3139.8,Yes,DSL,72,No,Credit card (automatic),No
0230-WEQUW,23,Male,Two year,56.6,3789.2,Yes,DSL,66,Yes,Bank transfer (automatic),No
2040-LDIWQ,24,Male,Two year,84.2,5324.5,Yes,DSL,65,Yes,Bank transfer (automatic),No
6496-JDSSB,23,Female,Month-to-month,80,624.6,No,Fiber optic,8,Yes,Bank transfer (automatic),No
9408-SSNVZ,20,Female,Month-to-month,70.15,268.35,No,Fiber optic,4,Yes,Electronic check,Yes
4443-EMBNA,21,Female,Two year,24.75,1836.9,No internet service,No,71,No,Bank transfer (automatic),No
6469-MRVET,19,Male,One year,20.2,20.2,No internet service,No,1,Yes,Electronic check,No
0742-MOABM,27,Male,Month-to-month,50.05,179.35,Yes,DSL,4,No,Mailed check,Yes
5961-VUSRV,19,Female,One year,19.35,219.35,No internet service,No,12,Yes,Bank transfer (automatic),No
6778-JFCMK,19,Male,One year,50.6,1288.75,No,DSL,24,Yes,Mailed check,No
6341-JVQGF,29,Female,One year,81.15,2545.75,Yes,DSL,31,Yes,Mailed check,No
2232-DMLXU,26,Female,Month-to-month,55.2,55.2,No,DSL,1,No,Mailed check,Yes
4811-JBUVU,28,Male,Month-to-month,89.9,2723.15,Yes,Fiber optic,30,Yes,Credit card (automatic),No
0945-TSONX,19,Female,Two year,85.3,4107.25,Yes,DSL,47,Yes,Credit card (automatic),No
2651-ZCBXV,21,Male,Two year,108,5760.65,Yes,Fiber optic,54,Yes,Credit card (automatic),No
3316-UWXUY,29,Male,Month-to-month,93.5,4747.5,Yes,Fiber optic,50,Yes,Credit card (automatic),No
8937-RDTHP,20,Male,Month-to-month,84.6,84.6,No,Fiber optic,1,Yes,Mailed check,Yes
7083-MIOPC,30,Female,Two year,20.25,1566.9,No internet service,No,72,No,Credit card (automatic),No
1984-GPTEH,25,Female,Month-to-month,25.15,702,No internet service,No,29,No,Electronic check,No
1251-KRREG,20,Male,Month-to-month,54.4,114.1,No,DSL,2,Yes,Mailed check,Yes
0621-JFHOL,27,Female,Two year,29.6,299.05,Yes,DSL,10,Yes,Mailed check,No
9903-LYSAB,24,Male,Month-to-month,73.15,1305.95,No,Fiber optic,18,Yes,Electronic check,No
0094-OIFMO,24,Female,Month-to-month,95,1120.3,No,Fiber optic,11,Yes,Electronic check,Yes
9227-UAQFT,20,Male,Two year,19.75,284.35,No internet service,No,16,No,Mailed check,No
7301-ABVAD,24,Female,Two year,86.6,6350.5,Yes,DSL,72,No,Bank transfer (automatic),No
6614-FHDBO,28,Male,Two year,109.2,7878.3,Yes,Fiber optic,72,No,Bank transfer (automatic),No
7576-ASEJU,28,Female,One year,74.7,3187.65,Yes,DSL,41,Yes,Credit card (automatic),No
9058-HRZSV,21,Female,Month-to-month,94.4,6126.15,No,Fiber optic,65,No,Electronic check,No
4522-AKYLR,28,Female,Month-to-month,54.8,731.3,No,DSL,13,Yes,Electronic check,No
0221-WMXNQ,29,Male,Month-to-month,75.35,273.4,No,Fiber optic,4,No,Electronic check,No
0303-UNCIP,25,Male,One year,65,2531.8,No,DSL,41,No,Mailed check,No
9947-OTFQU,19,Male,Month-to-month,74.4,1074.3,No,Fiber optic,15,Yes,Electronic check,Yes
0322-YINQP,19,Male,Month-to-month,48.55,48.55,No,DSL,1,Yes,Mailed check,Yes
0959-WHOKV,21,Male,One year,99,4298.45,No,Fiber optic,42,Yes,Electronic check,No
4075-JFPGR,23,Female,One year,93.5,4619.55,No,Fiber optic,51,Yes,Electronic check,No
4629-NRXKX,23,Female,Month-to-month,70.4,147.15,No,Fiber optic,2,No,Electronic check,Yes
9514-JDSKI,25,Male,Month-to-month,40.2,40.2,No,DSL,1,No,Electronic check,Yes
3282-ZISZV,26,Male,One year,83.7,2633.3,Yes,DSL,32,No,Credit card (automatic),No
3675-YDUPJ,26,Male,Month-to-month,19.85,193.05,No internet service,No,10,Yes,Mailed check,No
4111-BNXIF,30,Female,Two year,59.55,4103.9,Yes,DSL,67,Yes,Electronic check,No
7017-VFHAY,27,Female,Two year,115.1,7008.15,Yes,Fiber optic,61,No,Credit card (automatic),No
6655-LHBYW,27,Male,One year,114.35,5791.1,Yes,Fiber optic,50,No,Credit card (automatic),No
4959-JOSRX,21,Female,Month-to-month,44.6,80.55,No,DSL,2,Yes,Credit card (automatic),Yes
5046-NUHWD,23,Female,Month-to-month,45,1228.65,No,DSL,29,Yes,Electronic check,No
7273-TEFQD,19,Male,Month-to-month,41.15,132.2,No,DSL,3,Yes,Electronic check,Yes
3606-TWKGI,28,Male,Month-to-month,106.9,1364.3,No,Fiber optic,13,Yes,Electronic check,Yes
7529-ZDFXI,22,Male,Month-to-month,89.85,4925.35,No,Fiber optic,57,Yes,Electronic check,No
7605-BDWDC,20,Female,Two year,49.85,1520.1,Yes,DSL,31,Yes,Bank transfer (automatic),No
1950-KSVVJ,22,Female,One year,113.3,5032.25,Yes,Fiber optic,45,No,Mailed check,No
0123-CRBRT,24,Female,Two year,88.1,5526.75,Yes,DSL,61,No,Mailed check,No
6292-TOSSS,25,Male,Two year,24.9,1195.25,No internet service,No,50,No,Bank transfer (automatic),No
3197-ARFOY,21,Female,Month-to-month,105,2007.25,Yes,Fiber optic,19,Yes,Mailed check,No
6323-AYBRX,30,Male,Two year,19.35,1099.6,No internet service,No,59,No,Mailed check,Yes
